idx,condition_dataset_name,condition_cond_name,condition_query_name,parameter_value,gpt-3.5-turbo,luminous-supreme-control_int100query,gpt-4
37,annealing,cc,econ,1.6,0.5314548867859674,0.4384166152675899,0.8933466883966906
38,annealing,cc,econ,1.7,0.5149757651541829,0.0437412297094828,0.5523805373768605
39,annealing,cc,econ,1.8,0.5837492316626989,0.08625751714109064,0.9331466233141171
40,annealing,cc,econ,1.9,0.7859959011150126,0.027025616795699925,0.65955062316673
41,annealing,cc,econ,2.0,0.3447496260932632,0.3573562158391663,0.7070295256067439
42,annealing,cc,sex,0.0,0.0,4.175450403823969,0.0
43,annealing,cc,sex,0.1,0.0,0.16243495021776622,0.0
44,annealing,cc,sex,0.2,0.05600153184816887,0.14273435636184784,0.056001531848168654
45,annealing,cc,sex,0.3,0.33393270426800137,0.11102413779629161,0.15383758772444636
46,annealing,cc,sex,0.4,0.38357113855199176,0.09781362139532357,0.6940083742598047
47,annealing,cc,sex,0.5,0.43328076772215346,0.39579724233953284,0.7202578599333941
48,annealing,cc,sex,0.6,0.32495226780062947,0.3354019339128964,0.9164447709652315
49,annealing,cc,sex,0.7,0.09920077316254772,0.1068349652025482,0.9697279748704005
50,annealing,cc,sex,0.8,0.2974917561167212,0.049052490047056585,1.0154167951376056
51,annealing,cc,sex,0.9,0.684662195050437,0.19811329390464283,1.4281566575312032
52,annealing,cc,sex,1.0,0.024469911323767413,0.11145697989847703,1.4614863490914463
53,annealing,cc,sex,1.1,0.19610528418715756,0.37077900221357707,1.4946917173587497
54,annealing,cc,sex,1.2,0.6075550151745568,0.021852024135232018,1.4455222813250699
55,annealing,cc,sex,1.3,0.22701092446024784,0.07925295606694127,1.3398764358904698
56,annealing,cc,sex,1.4,0.10057750495403939,0.11709215459517441,1.3969696898914716
57,annealing,cc,sex,1.5,0.1829369529909668,0.5715583453432709,1.8185219401393777
58,annealing,cc,sex,1.6,0.034701031279232186,0.1120699109834673,1.3873513146501917
59,annealing,cc,sex,1.7,0.18731387473953331,0.4647327429394972,1.0872233669746385
60,annealing,cc,sex,1.8,0.3802372066829305,0.5175693042941831,1.3198868959401695
61,annealing,cc,sex,1.9,0.08843686795017192,0.8399118501443663,1.194378125031986
62,annealing,cc,sex,2.0,0.1201629178238588,0.11780625720364846,0.8786029650120832
63,annealing,chain,alien,0.0,0.0,0.4396698727587856,0.6931471712952033
64,annealing,chain,alien,0.1,0.0,0.2322525982842849,0.26638445844167535
65,annealing,chain,alien,0.2,0.05600153184816889,0.1957053855842641,0.20619204644795777
66,annealing,chain,alien,0.3,0.1535314387118809,0.48879642487560127,0.23379165422629128
67,annealing,chain,alien,0.4,0.2635612041577023,0.20988176686733628,0.6426574578111214
68,annealing,chain,alien,0.5,0.8354778109129182,0.09167299870898482,0.387212369090595
69,annealing,chain,alien,0.6,0.5684064999164625,0.0974284470535498,0.752629808911127
70,annealing,chain,alien,0.7,0.8677797367599616,0.2365026083978008,0.6930456435227272
71,annealing,chain,alien,0.8,0.7465177232982183,0.2632397193245313,0.6464952303372571
72,annealing,chain,alien,0.9,0.610010208992144,0.14750270389419895,0.6825164341596872
73,annealing,chain,alien,1.0,0.26450933605904714,0.2775942658877444,0.5700471625067609
74,annealing,chain,alien,1.1,0.1892735864923778,0.5406040546393327,0.4999530959529255
75,annealing,chain,alien,1.2,0.03913177893499675,0.40027387018739913,0.9609329046968677
76,annealing,chain,alien,1.3,0.29644296411431315,0.35224070311111455,1.3180714120751191
77,annealing,chain,alien,1.4,0.08140625078282637,0.426375004487505,1.4077867544230893
78,annealing,chain,alien,1.5,0.22103860624457017,0.2131414609083513,1.268077176150888
79,annealing,chain,alien,1.6,0.011320600269645542,0.8079479894599617,1.5390632232041856
80,annealing,chain,alien,1.7,0.0769610730280772,0.4645142846061243,1.7443827734459987
81,annealing,chain,alien,1.8,0.14062824408747643,0.23589733774175015,1.7991814738919325
82,annealing,chain,alien,1.9,0.01340406867942745,0.39739225080032137,1.8422832388381725
83,annealing,chain,alien,2.0,0.17899530449333811,0.5528806846150345,1.6132949863282937
84,annealing,chain,econ,0.0,0.0,0.0,0.0
85,annealing,chain,econ,0.1,0.0,0.0,0.09803911028017424
86,annealing,chain,econ,0.2,0.05600153184816887,0.055045638159445076,0.2787693668113424
87,annealing,chain,econ,0.3,0.11190205187860429,0.8135228783288586,0.5100141254430922
88,annealing,chain,econ,0.4,0.5490604212869455,0.48643799979153757,0.886644179054783
89,annealing,chain,econ,0.5,0.9172566123217756,0.38979083497053524,0.8415215863979049
90,annealing,chain,econ,0.6,1.111415976109428,0.47314690686977434,0.6645160495347083
91,annealing,chain,econ,0.7,1.042410764499908,0.294784709701459,0.8990423603840416
92,annealing,chain,econ,0.8,0.647755810539014,0.4641162868993023,1.1825026434683172
93,annealing,chain,econ,0.9,0.5322311129753168,0.7833707183095011,1.157562860479
94,annealing,chain,econ,1.0,0.33572658468127337,0.5369716613187805,1.2095465777055008
95,annealing,chain,econ,1.1,0.21652671506473675,0.7023872631280406,1.0854269555530192
96,annealing,chain,econ,1.2,0.005187898435584426,0.4034682652548711,0.8837846551654479
97,annealing,chain,econ,1.3,0.0030739185376269518,0.25233681652164464,1.2513968113097234
98,annealing,chain,econ,1.4,0.04629632888065505,0.5284334630249246,1.1733268634392813
99,annealing,chain,econ,1.5,0.14790304936229015,0.3864592367411632,0.9029677572648285
100,annealing,chain,econ,1.6,0.11597554024136736,0.5718362071056873,0.6763327957520752
101,annealing,chain,econ,1.7,0.03465645220720415,0.5064642232294791,0.7714361034937297
102,annealing,chain,econ,1.8,0.03915611174345379,0.458075094408285,0.9497942029122041
103,annealing,chain,econ,1.9,0.19003798841810582,0.008966171330836659,0.7459857150908119
104,annealing,chain,econ,2.0,0.2737044189032716,0.46601850542981893,0.6130383191013501
105,annealing,chain,sex,0.0,0.0,4.615120276582754,0.0
106,annealing,chain,sex,0.1,0.5832588319975023,0.6931471712952034,0.0
107,annealing,chain,sex,0.2,0.7476345457365876,0.4938512177446358,0.0
108,annealing,chain,sex,0.3,0.7524177524820593,0.02453192851113517,0.15383758772444642
109,annealing,chain,sex,0.4,0.797237491926544,0.2773549603018364,0.4223063446732017
110,annealing,chain,sex,0.5,0.8680875600195317,0.5923516759505305,0.3923841319378884
111,annealing,chain,sex,0.6,0.8008201536285263,0.5321322407903224,0.7630963447150307
112,annealing,chain,sex,0.7,0.6790698636093606,0.19485522601513594,0.708164683037546
113,annealing,chain,sex,0.8,0.3083307451364323,0.2856739030159803,1.1905439156646571
114,annealing,chain,sex,0.9,0.1960146652156638,0.1995121136160669,1.0056695386550993
115,annealing,chain,sex,1.0,0.006053285429079125,0.055389312920118616,1.2040012098255501
116,annealing,chain,sex,1.1,0.08112618603310118,0.33694154675386434,1.1585059246226406
117,annealing,chain,sex,1.2,0.7257676825970831,0.01898997773834532,0.8949205396650127
118,annealing,chain,sex,1.3,0.3021607563490045,0.1376835041450033,1.2280723359487355
119,annealing,chain,sex,1.4,0.04753189244340472,0.12147561895810832,1.163926630632526
120,annealing,chain,sex,1.5,0.024219393597536776,0.09208460022645681,1.4794790493829517
121,annealing,chain,sex,1.6,0.12749140521092173,0.1551178526094481,0.9947188472667721
122,annealing,chain,sex,1.7,0.03683487819255493,0.1756545989828746,0.9293482330275006
123,annealing,chain,sex,1.8,0.35199552382779364,0.40152232193804904,1.188408361035488
124,annealing,chain,sex,1.9,0.07282103541842266,0.42636838191435267,1.145520703119487
125,annealing,chain,sex,2.0,0.0028029616205751395,0.07337581556420991,0.5962719675701749
126,top_p_var,cc,alien,0.01,0.0,0.0,2.220444461063537e-16
127,top_p_var,cc,alien,0.1,0.0,0.6833149044107093,0.691416068370207
128,top_p_var,cc,alien,0.2,0.0,0.553526787174658,0.22371807169307992
129,top_p_var,cc,alien,0.3,0.0,0.22439667890773296,2.220444461063537e-16
130,top_p_var,cc,alien,0.4,0.4396698727587856,0.3580454667189499,0.598269580299073
131,top_p_var,cc,alien,0.5,0.7710548032503766,0.20558022900592077,0.5908422380661265
132,top_p_var,cc,alien,0.6,1.4175118544397556,0.23362346536856782,0.30947728149307463
133,top_p_var,cc,alien,0.7,1.0889344771605463,0.532529912856009,0.6525447643074762
134,top_p_var,cc,alien,0.8,1.179953137970343,0.49094429948826757,0.6838206196162446
135,top_p_var,cc,alien,0.9,0.6012100185372877,0.5875752561472412,0.5359598815743805
136,top_p_var,cc,alien,1.0,1.0176923636164408,0.53815847717656,0.36274772022418017
137,top_p_var,cc,econ,0.01,0.0,0.0,0.0
138,top_p_var,cc,econ,0.1,0.0,0.0,0.0
139,top_p_var,cc,econ,0.2,0.0,0.0,0.0
140,top_p_var,cc,econ,0.3,0.0,0.11388572736726077,0.0
141,top_p_var,cc,econ,0.4,0.0,0.10534349272735177,0.0
142,top_p_var,cc,econ,0.5,0.6021516742663996,0.0255404930992027,0.0
143,top_p_var,cc,econ,0.6,0.15872541194904888,0.09115674151803277,0.2787693668113426
144,top_p_var,cc,econ,0.7,0.44110135647035487,0.09242315038738247,0.40496347878291583
145,top_p_var,cc,econ,0.8,0.1676824073714962,0.022112301265430734,0.5832588319975024
146,top_p_var,cc,econ,0.9,0.47674319116509856,0.20866955750285143,0.9007513724801884
147,top_p_var,cc,econ,1.0,0.24261135413661994,0.16116791467377523,0.8091133493536781
148,top_p_var,cc,sex,0.01,0.0,4.175450403823969,0.0
149,top_p_var,cc,sex,0.1,0.0,4.175450403823969,0.0
150,top_p_var,cc,sex,0.2,0.0,0.06942539297142658,0.0
151,top_p_var,cc,sex,0.3,0.6768585376380176,0.39352658447247546,0.0
152,top_p_var,cc,sex,0.4,0.38740593133714757,0.39056893829211003,0.0
153,top_p_var,cc,sex,0.5,0.36318685530351835,0.07908181910761347,0.25363894223053574
154,top_p_var,cc,sex,0.6,0.09388361434715398,0.1212400912172944,0.6191006559243103
155,top_p_var,cc,sex,0.7,0.29192383242856534,0.06452474215907888,0.7170996122423602
156,top_p_var,cc,sex,0.8,0.48672232405731086,0.16938740187690748,0.8979277570668162
157,top_p_var,cc,sex,0.9,0.35533836262890506,0.4292305460274093,1.0355696949100301
158,top_p_var,cc,sex,1.0,0.017216809318679083,0.11443420849059116,1.160019274009985
159,top_p_var,chain,alien,0.01,0.0,0.4396698727587856,2.220444461063537e-16
160,top_p_var,chain,alien,0.1,0.0,0.008031185344839598,0.691416068370207
161,top_p_var,chain,alien,0.2,0.0,0.004941822875808466,0.22371807169307992
162,top_p_var,chain,alien,0.3,0.5730569091057786,0.27556202092023274,2.220444461063537e-16
163,top_p_var,chain,alien,0.4,0.4157663740164979,0.29098915122550695,0.598269580299073
164,top_p_var,chain,alien,0.5,0.5214765228549303,0.17485188297358079,0.5908422380661265
165,top_p_var,chain,alien,0.6,0.11948506218289756,0.29642083300034683,0.30947728149307463
166,top_p_var,chain,alien,0.7,0.4164897649803121,0.3145940402212104,0.6525447643074762
167,top_p_var,chain,alien,0.8,0.1944164826454422,0.40738920601392103,0.6838206196162446
168,top_p_var,chain,alien,0.9,0.12406213802235655,0.36449426759938297,0.5359598815743805
169,top_p_var,chain,alien,1.0,0.0749960322186074,0.6275207618710759,0.5722806907842302
170,top_p_var,chain,econ,0.01,0.0,0.0,0.0
171,top_p_var,chain,econ,0.1,0.0,0.0,0.0
172,top_p_var,chain,econ,0.2,0.0,0.0,0.0
173,top_p_var,chain,econ,0.3,0.0,0.23681178784978268,0.0
174,top_p_var,chain,econ,0.4,0.6859297910619769,0.1392104214784028,0.32508296794631947
175,top_p_var,chain,econ,0.5,0.6859297910619769,0.441621716272547,0.38616939551857404
176,top_p_var,chain,econ,0.6,0.19459368611886108,0.2299403330356078,0.5623351367040361
177,top_p_var,chain,econ,0.7,0.28217999652295467,0.5492334817349371,0.7988323943747345
178,top_p_var,chain,econ,0.8,0.03882405534575972,0.31340206949062877,0.8979277570668162
179,top_p_var,chain,econ,0.9,0.008718364217591645,0.24263621433530558,1.0624605027738059
180,top_p_var,chain,econ,1.0,0.2751408346176063,0.527151361985172,1.3258695342445788
181,top_p_var,chain,sex,0.01,0.0,4.615120276582754,0.0
182,top_p_var,chain,sex,0.1,0.0,4.615120276582754,0.0
183,top_p_var,chain,sex,0.2,0.0,0.007732816959701072,0.0
184,top_p_var,chain,sex,0.3,0.0,0.453152942507303,0.0
185,top_p_var,chain,sex,0.4,0.3243316311014632,0.6371981035263174,0.0
186,top_p_var,chain,sex,0.5,0.048368560015324524,0.16846127012329992,0.30253781788950634
187,top_p_var,chain,sex,0.6,0.41975816963996715,0.1918594821036872,0.34651533124865685
188,top_p_var,chain,sex,0.7,0.6535588210360292,0.146169691895641,0.551079920288636
189,top_p_var,chain,sex,0.8,0.9261387082563906,0.03039778632636514,0.8161338189627472
190,top_p_var,chain,sex,0.9,0.7916188754881819,0.694244945721781,0.9550438922322105
191,top_p_var,chain,sex,1.0,0.4061600746843983,0.12294441376706722,1.1288223218366389
